Current LGU: LGU Name,LARA Business ID,Account Name,DBA,Address,Type,Status
ALPENA CITY,8998,"ALPENA YACHT CLUB, INC.","ALPENA YACHT CLUB, INC.","250 Prentiss St, Alpena, MI 49707-2834 United States",Social District,Issued
ALPENA CITY,0262971,"HOPSIDE BREWERY, LLC","HOPSIDE BREWERY, LLC","129 W Chisholm St, Alpena, MI 49707-2445 United States",Social District,Issued
ALPENA CITY,64,"J & J ENTERPRISE, INC.",J. J.'S BAR AND GRILL,"417 N Second Ave, Alpena, MI 49707-2337",Social District,Issued
ALPENA CITY,0261877,MANGOS OF ALPENA LLC,MANGOS,"121 W Chisholm St, Alpena, MI 49707-2445 United States",Social District,Issued
ALPENA CITY,221425,"PEAK SERVICES, L.L.C.",THE BLACK SHEEP PUB,"113 S Second Ave, Alpena, MI 49707-2813",Social District,Issued
ALPENA CITY,247960,RED BRICK TAP & BARREL LLC,RED BRICK TAP & BARREL LLC,"111 River St, Alpena, MI 49707 United States",Social District,Issued
ALPENA CITY,0268703,"RUSTY PETUNIAS MARKETPLACE, LLC","RUSTY PETUNIAS MARKETPLACE, LLC","123 W Chisholm St, Alpena, MI 49707-2445 United States",Social District,Issued
ALPENA CITY,226787,THE FRESH PALATE LLC,THE FRESH PALATE,"109 N Second Ave, Alpena, MI 49707-5304",Social District,Issued
ALPENA CITY,228471,THUNDER BAY WINERY L.L.C.,,"109 N Second Ave, Alpena, MI 49707-5304",Social District,Issued
ANN ARBOR CITY,244933,"AVALON INTERNATIONAL BREADS ANN ARBOR, LLC",AVALON HEARTH AND SOUL CAFE & KITCHEN,"120 E Liberty St, Ann Arbor, MI 48104-2156",Social District,Issued
ANN ARBOR CITY,266051,"BLUE LLAMA BISTRO, LLC",,"312 S Main St, Ann Arbor, MI 48104-2108 United States",Social District,Issued
ANN ARBOR CITY,0259677,"BLUE LLAMA ENTERPRISES, LLC",BLUE LLAMA,"314 S Main St, Ann Arbor, MI 48104-2108 United States",Social District,Issued
ANN ARBOR CITY,184833,"BLUE TRACTOR AA, LLC",BLUE TRACTOR BBQ AND BREWERY,"211 E Washington St, Ann Arbor, MI 48104-2007",Social District,Issued
ANN ARBOR CITY,247629,BLUM PRODUCTION LLC,BLOM MEADWORKS,"100 S 4th Ave, Ann Arbor, MI 48104-1994 United States",Social District,Issued
ANN ARBOR CITY,244851,BSG220 LLC,NIGHTCAP,"220 S Main St, Ann Arbor, MI 48104-2142",Social District,Issued
ANN ARBOR CITY,1176,CONOR O'NEILL'S OF ANN ARBOR LLC,CONOR O'NEILLS,"318 S Main St, Ann Arbor, MI 48104-2108",Social District,Issued
ANN ARBOR CITY,224669,"FRITA ANN ARBOR, LLC",FRITA BATIDOS,"117 W Washington St, Ann Arbor, MI 48104-1324 United States",Social District,Issued
ANN ARBOR CITY,5681,"GPBC, INC.",GRIZZLY PEAK BREWING COMPANY,"117 S Ashley St, Ann Arbor, MI 48104-1348 United States",Social District,Issued
ANN ARBOR CITY,239266,"JBD ANN ARBOR, LLC",JIM BRADY'S DETROIT,"209 S Main St, Ann Arbor, MI 48104-2105",Social District,Issued
ANN ARBOR CITY,0262784,"MSVRG DOWNTOWN VENTURES, LLC (A DELAWARE LIMITED LIABILITY COMPANY)",THE CHOP HOUSE AND GRATZI,"326 S Main St, Ann Arbor, MI 48104-2108 United States",Social District,Issued
ANN ARBOR CITY,216660,"NORTHERN UNITED BREWING COMPANY, LLC",,"309-311 S Main St, Ann Arbor, MI 48104-2107 United States",Social District,Issued
ANN ARBOR CITY,227177,"OLD SCHOOL RESTAURANT ON MAIN, LLC",HABANA ON MAIN,"224-226 S Main St, Ann Arbor, MI 48104-2106",Social District,Issued
ANN ARBOR CITY,225007,P & P HOSPITALITY LLC,THE RAVEN'S CLUB,"207 S Main St, Ann Arbor, MI 48104-2105 United States",Social District,Issued
ANN ARBOR CITY,248501,"PL GROTTO, LLC",THE BEER GROTTO,"303 S Ashley St, Ann Arbor, MI 48104-1352 United States",Social District,Issued
ANN ARBOR CITY,224462,"PROJECT B, LLC",ALLEY BAR,"112 W Liberty St, Ann Arbor, MI 48104-1321",Social District,Issued
ANN ARBOR CITY,0263739,"PT3, LLC",REGENTS FIELD,"204 S Main St, Ann Arbor, MI 48104-2106 United States",Social District,Issued
ANN ARBOR CITY,0262792,"RSC OF ANN ARBOR, LLC (A DELAWARE LIMITED LIABILITY COMPANY)",REAL SEAFOOD COMPANY,"341 S Main St, Ann Arbor, MI 48104-2164 United States",Social District,Issued
ANN ARBOR CITY,196795,"SEA TO LAND, L.L.C.",BLACK PEARL,"302 S Main St, Ann Arbor, MI 48104-2108",Social District,Issued
ANN ARBOR CITY,262794,"THE PALIO OF ANN ARBOR, LLC (A DELAWARE LIMITED LIABILITY COMPANY)",PALIO,"349 S Main St, Ann Arbor, MI 48104-2107 United States",Social District,Issued
ANN ARBOR CITY,245132,"THE TAVERN PROJECT MICHIGAN, LLC",HAYMAKER PUBLIC HOUSE,"201-203 E Washington St, Ann Arbor, MI 48104-2007",Social District,Issued
ANN ARBOR CITY,0277855,"UP FROM THE SKIES, LLC",,"210 S MAIN ST, ANN ARBOR, MI 48104 United States",Social District,Pending
BATTLE CREEK CITY,242734,RAFAYNEE' LIMITED LIABILITY COMPANY,,"97 Michigan Ave W, Battle Creek, MI 49017-3605",Social District,Escrow
BATTLE CREEK CITY,0269327,CAFE RICA L.L.C.,CAFE' RICA,"62 Michigan Ave E, Battle Creek, MI 49017-4007 United States",Social District,Issued
BATTLE CREEK CITY,3281,CEREAL CITY DEVELOPMENT CORPORATION,KELLOGG ARENA,"36 Hamblin Ave W, Battle Creek, MI 49017",Social District,Issued
BATTLE CREEK CITY,1120,"CLARA'S ON THE RIVER, INC.",CLARA'S ON THE RIVER,"44 McCamly St N, Battle Creek, MI 49017-3550",Social District,Issued
BATTLE CREEK CITY,0264749,HANDMAP BREWING LLC,,"15 Carlyle St, Battle Creek, MI 49017-3516 United States",Social District,Issued
BATTLE CREEK CITY,0262401,"KOBALT KITCHEN, LLC",KITCHEN PROPER,"34 Michigan Ave W, Battle Creek, MI 49017-3604 United States",Social District,Issued
BATTLE CREEK CITY,170692,MC FURLO ASSOCIATES INC.,GRIFFIN GRILL & PUB,"38 Michigan Ave W, Battle Creek, MI 49017-3604",Social District,Issued
BATTLE CREEK CITY,0273534,TORTI TACO BAR AND GRILL LLC,,"80 W MICHIGAN AVE, BATTLE CREEK, MI 49017 United States",Social District,Issued
BATTLE CREEK CITY,0262988,"TRIPLE J ENDEAVORS, LLC",CRICKET CLUB,"36 Michigan Ave W, Battle Creek, MI 49017-3604 United States",Social District,Issued
BAY CITY,0273715,600 EAST LLC,RATHSKELLER FOOD & SPIRITS,"600 E Midland St, Bay City, MI 48706-4729 United States",Social District,Issued
BAY CITY,1834,"DA MAR ENTERPRISES, INC.",OLD CITY HALL,"814 Saginaw St, Bay City, MI 48708-5613",Social District,Issued
BAY CITY,0265354,"DUSO'S TAVERN, INC.",DUSO'S BAR,"604 E Midland St, Bay City, MI 48706-4729 United States",Social District,Issued
BAY CITY,141999,"FMS, INC.",,"615 E Midland St, Bay City, MI 48706-4728",Social District,Issued
BAY CITY,239963,"HO MANAGEMENT, LLC",JAKE'S CORNER LOUNGE,"114 3rd St, Bay City, MI 48708-5604",Social District,Issued
BAY CITY,0266821,J & W LLC,O'HARES BAR AND GRILL,"610 E Midland St, Bay City, MI 48706-4729 United States",Social District,Issued
BAY CITY,266288,"JELLO, LLC",BEAVERS EATERY & PUB,"200 Center Ave, Bay City, MI 48708-5636 United States",Social District,Issued
BAY CITY,0269346,MODE'S TAVERN L.L.C.,MODE'S TAVERN,"108 N Linn St, Bay City, MI 48706-4961 United States",Social District,Issued
BAY CITY,226579,SMOKE ON CENTER LLC,AMERICAN KITCHEN,"207 Center Ave, Bay City, MI 48708-5635",Social District,Issued
BAY CITY,238396,"TAVERN ON CENTER, LLC","TAVERN ON THE CENTER, LLC","101 Center Ave, Bay City, MI 48708-5634",Social District,Issued
BELLEVILLE CITY,230019,EGAN'S PUB LLC,EGAN'S PUB,"396 Main St, Belleville, MI 48111-2646",Social District,Issued
BELLEVILLE CITY,0266797,LYLE'S BAYOU GRILL LLC,LYLE'S BAYOU GRILL LLC,"404 Main St, Belleville, MI 48111-2648 United States",Social District,Issued
BELLEVILLE CITY,231837,"SUNSHINE, INC.",JOHNNY'S BAR & GRILL,"146 High St, Belleville, MI 48111-2676",Social District,Issued
BRIDGMAN CITY,0264960,LAZY BALLERINA WINERY LLC,LAZY BALLERINA WINERY,"4209 Lake St, Bridgman, MI 49106-9113 United States",Social District,Issued
BRIDGMAN CITY,0275382,ON LAKE TIME LLC,LAKE STREET EATS,"4228 Lake St, Bridgman, MI 49106-9109 United States",Social District,Issued
BRIDGMAN CITY,241153,TRANSIENT ARTISAN ALES LLC (AN ILLINOIS LIMITED LIABLITY COMPANY),,"4229 Lake St, Bridgman, MI 49106-9109",Social District,Issued
BRIGHTON CITY,404,"NLB VENTURES, INC.",CHAMP'S PUB,"140 E Grand River Ave, Brighton, MI 48116-1510",Social District,Escrow
BRIGHTON CITY,264369,"3GS PUB, LLC",GINOPOLIS,"201 W Main St, Brighton, MI 48116-1523 United States",Social District,Issued
BRIGHTON CITY,0270332,"ABCD & NICK, LLC",THE POUND BAR & GRILL,"139 W Main St, Brighton, MI 48116-1521 United States",Social District,Issued
BRIGHTON CITY,224375,"BRIGHTON BAR & GRILL ENTERPRISE, LLC",BRIGHTON BAR & GRILL,"402 W Main St, Brighton, MI 48116-1446",Social District,Issued
BRIGHTON CITY,0263499,"EL ARBOL, LLC",EL ARBOL,"140 W Main St, Brighton, MI 48116-1522 United States",Social District,Issued
BRIGHTON CITY,0274856,LOS TRES AMIGOS BRIGHTON LLC,,"501 W Main St, Brighton, MI 48116-1447 United States",Social District,Issued
BRIGHTON CITY,0269655,"MADI ENTERPRISES, LLC",THE CANOPY LOUNGE,"206 E ST PAUL ST, BRIGHTON, MI 48116 United States",Social District,Issued
BRIGHTON CITY,250148,"NPZ ON MAIN, LLC",ROADIES,"205 W Main St, Brighton, MI 48116-1523 United States",Social District,Issued
BRIGHTON CITY,0259364,"SBS 1, LLC",SINGLE BARREL SOCIAL,"8724 W Grand River Ave, Brighton, MI 48116-2307 United States",Social District,Issued
BRIGHTON CITY,248203,"SOKO 440, LLC",BOURBONS,"440 W Main St, Brighton, MI 48116-1489 United States",Social District,Issued
BUCHANAN CITY,0276440,BUCHANAN CRAFT LLC,,"101-103 DAYS AVE, BUCHANAN, MI 49107 United States",Social District,Pending
CADILLAC CITY,0265423,"CLAM-TORCH RMPL, INC.",CLAM LAKE BEER CO.,"106 S MITCHELL ST, CADILLAC, MI 49601 United States",Social District,Issued
CADILLAC CITY,0271167,"LAKE CADILLAC RESTAURANT GROUP, LLC",,"214 N MITCHELL ST, CADILLAC, MI 49601-1863 United States",Social District,Issued
CADILLAC CITY,0270677,PRIMOS BBQ LLC,,"916 S Mitchell St, Cadillac, MI 49601-2516 United States",Social District,Issued
CADILLAC CITY,0259225,"RAVEN BBQ, LLC",RAVEN BREWING & BBQ; AZUL,"119 S Mitchell St, Cadillac, MI 49601-2190 United States",Social District,Issued
CADILLAC CITY,1216,"FEISTER ENTERPRISES, INC.",ROARING 20'S SALOON,"210 S Mitchell St, Cadillac, MI 49601-2140",Social District,Pending
CEDAR SPRINGS CITY,235945,"CEDAR SPRINGS BREWING COMPANY, LLC",,"95 N Main, Cedar Springs, MI 49319-5140 United States",Social District,Issued
CEDAR SPRINGS CITY,0262561,"DELIGHTFUL GATHERINGS, LLC",THE RED BIRD BISTRO & GRILL,"22 N Main St NE, Cedar Springs, MI 49319 United States",Social District,Issued
CENTER LINE CITY,2773,"F.J. ENTERPRIZES, INC.",SANDBAGGERS,"25615 Van Dyke Ave, Center Line, MI 48015-1823",Social District,Issued
CENTER LINE CITY,1003,"TE ROMA, INC.",TE ROMA BAR,"24436 Van Dyke Ave, Center Line, MI 48015-1315",Social District,Issued
CENTRAL LAKE VILLAGE,216687,"BLUE PELICAN INN, INC.",,"2535 N Main St, Central Lake, MI 49622-9270",Social District,Issued
CENTRAL LAKE VILLAGE,242111,MAMMOTH DISTILLING LLC,Mammoth Distilling,"2407 Main St, Central Lake, MI 49622-5139",Social District,Issued
CHELSEA CITY,249030,"GENMAR, INC.",ZOU ZOU'S CAFE,"101 N Main St, Chelsea, MI 48118-1263 United States",Social District,Issued
CHELSEA CITY,220859,S. D. J. ENTERPRISE CORP.,JET'S,"514 N Main St, Chelsea, MI 48118-1256",Social District,Issued
CHELSEA CITY,221206,"UGLY DOG DISTILLERY, LLC",,"218 S Main St, Chelsea, MI 48118-1268 United States",Social District,Issued
CHELSEA CITY,0263865,"WARRIORS MANAGEMENT, INC.",,"420 N Main St, Chelsea, MI 48118-1299 United States",Social District,Issued
CLARKSTON CITY,179114,"CASH BAR, INC.",UNION WOODSHOP,"18 S Main St, Clarkston, MI 48346-1524",Social District,Issued
CLARKSTON CITY,7269,"CLARK BAR, INC.",THE CLARKSTON UNION,"54 S Main St, Clarkston, MI 48346-1526",Social District,Issued
CLARKSTON CITY,241861,COCO BAR LLC,HONCHO,"28 S Main St, Clarkston, MI 48346-1524",Social District,Issued
CLARKSTON CITY,239454,SARJAM LLC,THE FED COMMUNITY,"15 S Main St, Clarkston, MI 48346-1525",Social District,Issued
CLAWSON CITY,0272100,"GKA INVESTMENTS, LLC",LUCKY DUCK,"38 S Main St, Clawson, MI 48017-2062 United States",Social District,Escrow
CLAWSON CITY,0267615,"CHARLES MOONDRAGON, LLC",WHISKEY TACO FOXTROT,"28 S Main St, Clawson, MI 48017-2088 United States",Social District,Issued
CLAWSON CITY,153822,"LANG, INC.",RENSHAW LOUNGE,"210 E 14 Mile Rd, Clawson, MI 48017-2135",Social District,Issued
CLAWSON CITY,130314,"MELISTAS INVESTMENTS, INC.",TAVERN ON THE MAIN,"235 S Main St, Clawson, MI 48017-2064",Social District,Issued
CLAWSON CITY,245812,THREE CATS CAFE LLC,THREE CATS CAFE,"116 W 14 Mile Rd, Clawson, MI 48017-1964 United States",Social District,Issued
CLAWSON CITY,0268197,"VITA DOCET, LLC",PUMACHUG,"1 E 14 Mile Rd, Clawson, MI 48017-2132 United States",Social District,Issued
CLAWSON CITY,0261468,"WEISS DISTILLING CO, LLC",WDC,"34 E 14 Mile Rd, Clawson, MI 48017-2133 United States",Social District,Issued
CLAWSON CITY,0275646,CHUCK TACOMA LLC,,"236 S Main St, Clawson, MI 48017-2065 United States",Social District,Pending
CLAWSON CITY,0277539,"PUMACHUG CLAWSON, LLC",,"1 E 14 Mile Rd, Clawson, MI 48017-2132 United States",Social District,Pending
CLINTON VILLAGE,162283,"CAPTAIN'S LOUNGE, LLC",CAPTAIN'S LOUNGE,"149 W Michigan Ave, Clinton, MI 49236-9577",Social District,Issued
CLINTON VILLAGE,0265340,HUFFAKER GROUP LLC,THE CLINTON INN,"106 W Michigan Ave, Clinton, MI 49236-9577 United States",Social District,Issued
CLINTON VILLAGE,0265596,WEST MICHIGAN AVENUE DEVELOPMENT COMPANY; LLC,JOHNNIE'S,"124 W Michigan Ave, Clinton, MI 49236-9577 United States",Social District,Issued
COLDWATER CITY,249519,"EL TACO LOCO MEXICAN TAQUERIA, LLC","EL TACO LOCO MEXICAN TAQUERIA, LLC","13 S Monroe St, Coldwater, MI 49036-1909",Social District,Issued
COLDWATER CITY,3729,"OMAR'S BAR, INC.",OMAR'S,"18 S Monroe St, Coldwater, MI 49036-1908",Social District,Issued
COLDWATER CITY,239566,"SLCT HOLDINGS, LLC",COLDWATER BROADWAY GRILLE,"19 S Monroe St, Coldwater, MI 49036-1909",Social District,Issued
COLDWATER CITY,250100,"THE TIBBITS OPERA FOUNDATION AND ARTS COUNCIL, INC.",,"14 S Hanchett St, Coldwater, MI 49036-1907 United States",Social District,Issued
COLDWATER CITY,0270584,TWO BANDITS BREWING COMPANY COLDWATER LLC,,"61 W Chicago St, Coldwater, MI 49036-1639 United States",Social District,Issued
COOPERSVILLE CITY,0275133,"CHAMP GRILL & BAR, LLC","CHAMP GRILL & BAR, LLC","287 Main St, Coopersville, MI 49404-1232 United States",Social District,Issued
COOPERSVILLE CITY,207615,"DLN ENTERPRISES, L.L.C.",327 PIZZA & PUB,"327 Main St, Coopersville, MI 49404-1232",Social District,Issued
DEARBORN CITY,0269393,"BLH ACQUISITION CO., LLC (A DELAWARE LIMITED LIABILITY COMPANY)",BAR LOUIE,"22269 Michigan Ave, Dearborn, MI 48124-2239 United States",Social District,Issued
DETROIT CITY,223878,FIRST CLASS CONSULTING LLC,HAZEL'S PLACE,"5520 Michigan Ave, Detroit, MI 48210-3035",Social District,Pending
DEXTER CITY,0264164,"8059 A2, LLC",,"8059 Main St, Dexter, MI 48130-1027 United States",Social District,Issued
DEXTER CITY,6274,NIKKI'S L.L.C.,DEXTER PUB,"8114 Main St, Dexter, MI 48130-1030",Social District,Issued
DEXTER CITY,0267093,"ERRATIC ALE CO., LLC",ERRATIC ALE CO,"8080 GRAND ST, DEXTER, MI 48130 United States",Social District,Pending
DOUGLAS CITY,5999,"EVERYDAY PEOPLE, L.L.C.",,"11 Center St, Douglas, MI 49406-5110",Social District,Issued
DOUGLAS CITY,242013,ROOTS MI L.L.C.,BORROWED TIME,"32 Center St, Douglas, MI 49406-5110 United States",Social District,Issued
DOUGLAS CITY,194472,"WILD DOG GRILLE, INC.",WILD DOG GRILLE,"24 Center St, Douglas, MI 49406-5114",Social District,Issued
DUNDEE VILLAGE,230815,DUNDEE TAVERN LLC,,"108 Tecumseh St, Dundee, MI 48131-1050",Social District,Issued
FARMINGTON CITY,242569,"BROWNDOG, LLC",BROWNDOG CREAMERY,"33314 Grand River Ave, Farmington, MI 48336-3124",Social District,Issued
FARMINGTON CITY,236629,FARMINGTON BREWING COMPANY LLC,,"33336 Grand River Ave, Farmington, MI 48336-3124",Social District,Issued
FARMINGTON CITY,244072,"JACOB'S RESTAURANT, INC.",MI.MOSA,"23360 Farmington Rd, Farmington, MI 48336-3102",Social District,Issued
FARMINGTON CITY,0267828,"LA MASA, LLC",LA MASA,"23310 Farmington Rd, Farmington, MI 48336-3102 United States",Social District,Issued
FARMINGTON CITY,0259640,"LOFT CIGARS, LLC","LOFT CIGAR, LLC","33419 Grand River Ave, Farmington, MI 48335-3521 United States",Social District,Issued
FARMINGTON CITY,232118,LOS TRES AMIGOS FARMINGTON DOWNTOWN LLC,LOS TRES AMIGOS,"33200 Grand River Ave, Farmington, MI 48336-3122",Social District,Issued
FARMINGTON CITY,0259924,SIDECAR FARMINGTON LLC,SIDECAR SLIDER BAR,"32720 Grand River Ave, Farmington, MI 48336-3182 United States",Social District,Issued
FARMINGTON CITY,241501,"SWEET LUDRES, L.L.C.",CHIVE KITCHEN,"33043 Grand River Ave, Farmington, MI 48336-3119",Social District,Issued
FARMINGTON CITY,223159,"THE BASEMENT BURGER BAR, INC.",THE BASEMENT BURGER BAR,"33316 Grand River Ave, Farmington, MI 48336-6404",Social District,Issued
FARMINGTON CITY,138,"PAGE'S FOOD AND SPIRITS, INC.",PAGE'S FOOD & SPIRITS,"23621 Farmington Rd, Farmington, MI 48336-3109",Social District,Pending
FENNVILLE CITY,0270058,"EL JARIPEO #1, LLC.",,"106 E Main St, Fennville, MI 49408-8428 United States",Social District,Issued
FENNVILLE CITY,219060,FENN'S MILL LLC,SALT OF THE EARTH,"114 E Main St, Fennville, MI 49408-8428",Social District,Issued
FENNVILLE CITY,236862,"KHNEMU STUDIO, LLC",ROOT,"120 E Main St, Fennville, MI 49408-8428",Social District,Issued
FERNDALE CITY,140112,"ASSAGGI, INC.",ASSAGGI MEDITERRANEAN BISTRO,"330 W 9 Mile Rd, Ferndale, MI 48220-1761 United States",Social District,Escrow
FERNDALE CITY,236566,"BBQ STRIKERS, LLC",BOBCAT BONNIE'S,"246 W 9 Mile Rd, Ferndale, MI 48220-1794",Social District,Escrow
FERNDALE CITY,0260958,"22812 WOODWARD AVENUE SERVICES, LLC",COMO'S RESTAURANT,"22812 Woodward Ave, Ferndale, MI 48220-1735 United States",Social District,Issued
FERNDALE CITY,225516,"22930 WOODWARD, LLC",THE BOSCO LOUNGE,"22930 Woodward Ave, Ferndale, MI 48220-1737",Social District,Issued
FERNDALE CITY,234511,"BLACK OWL, LLC",,"345 E 9 Mile Rd, Ferndale, MI 48220-1719",Social District,Issued
FERNDALE CITY,0260514,"BROOKS BREWING, LLC",BROOKS BREWING,"22925 Woodward Ave, Ferndale, MI 48220-1739 United States",Social District,Issued
FERNDALE CITY,0258837,CORNER TAVERN LLC,"CORNER GRILL, BAR AND GAME ROOM AND DETROIT AXE","344 W 9 Mile Rd, Ferndale, MI 48220-1761 United States",Social District,Issued
FERNDALE CITY,151363,"FERN LOUNGE, L.L.C.",SOHO LOUNGE,"205 W 9 Mile Rd, Ferndale, MI 48220-1795",Social District,Issued
FERNDALE CITY,220482,"FERNDALE MEXICAN, INC.",ONE-EYED BETTY'S BEER & KITCHEN/ONE-EYED BETTY'S,"175 W Troy St, Ferndale, MI 48220-1820",Social District,Issued
FERNDALE CITY,239366,FERNDALE SUPPER CLUB LLC,POPS 4 ITALIAN,"280 W 9 Mile Rd, Ferndale, MI 48220-1794",Social District,Issued
FERNDALE CITY,208318,"FISH HOOK DISTILLING COMPANY, LLC",VALENTINE DISTILLING COMPANY,"161 Vester St, Ferndale, MI 48220-1711",Social District,Issued
FERNDALE CITY,0270336,"FOX 231, LLC",,"241 W 9 Mile Rd, Ferndale, MI 48220-1795 United States",Social District,Issued
FERNDALE CITY,213158,"GO COMEDY! IMPROV THEATER, LLC",GO COMEDY! IMPROV THEATER,"261 E 9 Mile Rd, Ferndale, MI 48220-2078",Social District,Issued
FERNDALE CITY,245494,J'S PENALTY BOX LLC,,"22728 Woodward Ave, Ferndale, MI 48220-1734",Social District,Issued
FERNDALE CITY,197834,"LEBANDEZERS, INC.",ANITA'S KITCHEN,"22651 Woodward Ave, Ferndale, MI 48220-1801",Social District,Issued
FERNDALE CITY,225737,"LOCAL 241, LLC",WOODWARD IMPERIAL,"22830 Woodward Ave, Ferndale, MI 48220-1735",Social District,Issued
FERNDALE CITY,231619,"M-1 BAR AND GRILLE, LLC",NEW WAY BAR,"23130 Woodward Ave, Ferndale, MI 48220-1341",Social District,Issued
FERNDALE CITY,0273691,MEZCAL LLC,,"201& 203, Unit A , E 9 Mile Rd, Ferndale, MI 48220-2078 United States",Social District,Issued
FERNDALE CITY,224803,"OAKLAND SUGAR HOUSE, LLC",THE OAKLAND,"201 W 9 Mile Rd, Ferndale, MI 48220-1795",Social District,Issued
FERNDALE CITY,144242,"SINGLE MALT, INC.",DANNY'S IRISH PUB,"22824 Woodward Ave, Ferndale, MI 48220-1735",Social District,Issued
FERNDALE CITY,0268312,"TAP2020, L.L.C.",215 WEST,"211-215 W 9 Mile Rd, Ferndale, MI 48220-1795 United States",Social District,Issued
FERNDALE CITY,0261979,"TCWC, LLC",TRAVERSE CITY WHISKEY CO.,"22812 Woodward Ave, Ferndale, MI 48220-1735 United States",Social District,Issued
FERNDALE CITY,128763,"THE ELEVEN MILE BREWERY, INC.",WOODWARD AVENUE BREWERS,"22646 Woodward Ave, Ferndale, MI 48220-1810",Social District,Issued
FERNDALE CITY,241465,"THE RUST BELT MARKET, LLC",THE RUST BELT MARKET,"22801 Woodward Ave, Ferndale, MI 48220-1738",Social District,Issued
FERNDALE CITY,0272152,URBANREST BREWING COMPANY LLC,URBANREST BREWING COMPANY,"210 W 9 Mile Rd, Ferndale, MI 48220-1794 United States",Social District,Issued
FERNDALE CITY,213807,"FERNDALE GOOD TIMES FOOD & DRINK, INC.",ROSIE O'GRADY'S IRISH PUB,"279 W 9 Mile Rd, Ferndale, MI 48220-1795",Social District,Pending
GAYLORD CITY,0273106,ALEJANDRO'S SJ LLC,EL PATRON GRILL,"216 W Main St, Gaylord, MI 49735-1347 United States",Social District,Issued
